iter	Passed	Remaining
288	1745	4293
289	1749	4284
290	1754	4275
291	1760	4269
292	1766	4262
293	1771	4254
294	1777	4247
295	1782	4238
296	1786	4227
297	1789	4216
298	1794	4206
299	1798	4196
300	1805	4192
301	1810	4184
302	1815	4175
303	1819	4165
304	1824	4157
305	1829	4148
306	1833	4138
307	1838	4131
308	1842	4120
309	1847	4112
310	1852	4104
311	1856	4094
312	1861	4084
313	1865	4075
314	1869	4065
315	1874	4057
316	1877	4045
317	1881	4035
318	1886	4026
319	1889	4015
320	1895	4008
321	1899	3998
322	1903	3989
323	1908	3982
324	1911	3971
325	1918	3965
326	1922	3956
327	1926	3946
328	1931	3940
329	1937	3934
330	1941	3923
331	1945	3915
332	1950	3906
333	1954	3898
334	1959	3890
335	1963	3880
336	1967	3870
337	1971	3861
338	1975	3852
339	1980	3844
340	1984	3834
341	1988	3825
342	1992	3817
343	1996	3806
344	2001	3799
345	2004	3789
346	2009	3780
347	2013	3772
348	2017	3762
349	2021	3754
350	2025	3744
351	2029	3736
352	2033	3727
353	2037	3717
354	2043	3712
355	2046	3702
356	2051	3695
357	2057	3688
358	2060	3679
359	2066	3672
360	2071	3667
361	2075	3658
362	2080	3650
363	2084	3642
364	2088	3633
365	2093	3626
366	2096	3616
367	2102	3610
368	2106	3602
369	2110	3594
370	2115	3587
371	2120	3579
372	2125	3573
373	2130	3565
374	2135	3558
375	2138	3549
376	2144	3544
377	2150	3538
378	2154	3530
379	2159	3522
380	2164	3516
381	2169	3509
382	2173	3501
383	2178	3494
384	2182	3486
385	2186	3478
386	2192	3472
387	2196	3464
388	2201	3457
389	2206	3451
390	2210	3443
391	2215	3436
392	2220	3429
393	2224	3421
394	2228	3413
395	2233	3407
396	2238	3399
397	2242	3392
398	2246	3384
399	2251	3377
400	2256	3370
401	2260	3363
402	2265	3356
403	2270	3349
404	2274	3341
405	2278	3333
406	2287	3332
407	2292	3326
408	2297	3320
409	2304	3316
410	2309	3309
411	2315	3304
412	2321	3299
413	2328	3295
414	2338	3296
415	2343	3290
416	2349	3285
417	2359	3284
418	2364	3278
419	2370	3273
420	2375	3266
421	2380	3260
422	2387	3256
423	2391	3248
424	2400	3247
425	2404	3240
426	2412	3237
427	2419	3234
428	2427	3230
429	2438	3232
430	2446	3230
431	2452	3224
432	2459	3221
433	2468	3219
434	2473	3212
435	2482	3211
436	2488	3205
437	2494	3200
438	2500	3195
439	2512	3197
440	2520	3195
441	2527	3191
442	2535	3187
443	2547	3189
444	2554	3185
445	2559	3179
446	2568	3177
447	2573	3171
448	2580	3167
449	2588	3163
450	2594	3158
451	2599	3151
452	2606	3147
453	2614	3144
454	2619	3137
455	2625	3131
456	2632	3127
457	2636	3120
458	2641	3113
459	2647	3108
460	2653	3102
461	2657	3095
462	2661	3087
463	2675	3090
464	2679	3082
465	2685	3076
466	2690	3070
467	2695	3064
468	2705	3062
469	2710	3056
470	2716	3050
471	2722	3045
472	2727	3038
473	2733	3033
474	2738	3027
475	2744	3021
476	2750	3015
477	2758	3012
478	2764	3007
479	2771	3001
480	2775	2995
481	2779	2987
482	2786	2982
483	2792	2976
484	2796	2969
485	2801	2963
486	2806	2956
487	2817	2955
488	2823	2950
489	2831	2946
490	2837	2941
491	2843	2936
492	2849	2930
493	2854	2923
494	2859	2917
495	2864	2911
496	2869	2903
497	2881	2904
498	2886	2898
499	2891	2891
500	2896	2885
501	2902	2878
502	2907	2872
503	2912	2865
504	2917	2859
505	2921	2852
506	2925	2845
507	2931	2838
508	2937	2833
509	2942	2826
510	2946	2819
511	2954	2815
512	2961	2811
513	2967	2805
514	2974	2800
515	2977	2793
516	2982	2786
517	2987	2779
518	2994	2774
519	2998	2767
520	3003	2760
521	3007	2753
522	3011	2746
523	3017	2740
524	3022	2734
525	3026	2726
526	3031	2720
527	3035	2713
528	3040	2706
529	3045	2700
530	3050	2694
531	3054	2687
532	3059	2680
533	3063	2673
534	3067	2666
535	3073	2660
536	3077	2653
537	3084	2648
538	3089	2642
539	3092	2634
540	3096	2627
541	3101	2620
542	3105	2614
543	3110	2607
544	3115	2600
545	3119	2594
546	3124	2587
547	3128	2580
548	3132	2573
549	3136	2566
550	3140	2559
551	3144	2552
552	3148	2544
553	3153	2538
554	3158	2532
555	3162	2525
556	3166	2518
557	3171	2512
558	3175	2505
559	3182	2500
560	3188	2494
561	3192	2488
562	3198	2482
563	3205	2478
564	3209	2471
565	3215	2465
566	3223	2461
567	3228	2455
568	3232	2448
569	3237	2442
570	3240	2434
571	3244	2427
572	3249	2421
573	3253	2414
574	3258	2408
575	3264	2402
576	3268	2396
577	3273	2389
578	3277	2383
579	3282	2376
580	3286	2370
581	3292	2364
582	3295	2357
583	3300	2351
584	3304	2344
585	3312	2340
586	3316	2333
587	3322	2327
588	3327	2321
589	3331	2314
590	3338	2310
591	3343	2304
592	3348	2297
593	3354	2292
594	3358	2286
595	3363	2279
596	3369	2274
597	3373	2267
598	3377	2261
599	3383	2255
600	3387	2248
601	3391	2242
602	3395	2235
603	3398	2228
604	3402	2221
605	3406	2214
606	3409	2207
607	3413	2200
608	3418	2194
609	3421	2187
610	3425	2181
611	3429	2174
612	3433	2167
613	3438	2161
614	3443	2155
615	3447	2148
616	3451	2142
617	3455	2135
618	3459	2129
619	3463	2122
620	3468	2116
621	3472	2110
622	3476	2103
623	3480	2097
624	3484	2090
625	3488	2084
626	3492	2077
627	3496	2071
628	3501	2065
629	3504	2058
630	3508	2051
631	3512	2045
632	3518	2039
633	3523	2033
634	3527	2027
635	3532	2021
636	3537	2015
637	3541	2009
638	3546	2003
639	3550	1997
640	3554	1990
641	3559	1984
642	3566	1980
643	3570	1973
644	3574	1967
645	3578	1960
646	3582	1954
647	3587	1948
648	3590	1941
649	3595	1936
650	3599	1929
651	3603	1923
652	3609	1917
653	3612	1911
654	3618	1905
655	3623	1900
656	3626	1893
657	3631	1887
658	3636	1881
659	3640	1875
660	3645	1869
661	3650	1863
662	3654	1857
663	3659	1851
664	3663	1845
665	3668	1839
666	3672	1833
667	3676	1827
668	3681	1821
669	3686	1815
670	3691	1809
671	3696	1804
672	3701	1798
673	3705	1792
674	3711	1787
675	3716	1781
676	3721	1775
677	3726	1769
678	3731	1764
679	3736	1758
680	3740	1752
681	3745	1746
682	3751	1741
683	3755	1734
684	3759	1729
685	3764	1723
686	3768	1717
687	3773	1711
688	3778	1705
689	3781	1699
690	3786	1693
691	3791	1687
692	3795	1681
693	3800	1675
694	3805	1670
695	3809	1664
696	3815	1658
697	3819	1652
698	3824	1646
699	3828	1640
700	3832	1634
701	3837	1628
702	3840	1622
703	3845	1616
704	3849	1610
705	3853	1604
706	3860	1599
707	3865	1594
708	3869	1588
709	3874	1582
710	3879	1577
711	3883	1571
712	3888	1565
713	3893	1559
714	3897	1553
715	3902	1547
716	3907	1542
717	3911	1536
718	3917	1530
719	3920	1524
720	3925	1519
721	3930	1513
722	3934	1507
723	3938	1501
724	3943	1495
725	3947	1489
726	3952	1484
727	3957	1478
728	3961	1472
729	3965	1466
730	3969	1460
731	3974	1455
732	3978	1449
733	3983	1443
734	3988	1437
735	3993	1432
736	3997	1426
737	4001	1420
738	4006	1415
739	4010	1409
740	4015	1403
741	4020	1397
742	4023	1391
743	4029	1386
744	4032	1380
745	4037	1374
746	4042	1369
747	4046	1363
748	4051	1357
749	4056	1352
750	4060	1346
751	4067	1341
752	4071	1335
753	4075	1329
754	4080	1324
755	4084	1318
756	4088	1312
757	4092	1306
758	4097	1300
759	4101	1295
760	4106	1289
761	4110	1283
762	4116	1278
763	4121	1273
764	4125	1267
765	4130	1261
766	4135	1256
767	4139	1250
768	4143	1244
769	4148	1239
770	4152	1233
771	4158	1228
772	4162	1222
773	4166	1216
774	4172	1211
775	4177	1205
776	4180	1199
777	4185	1194
778	4189	1188
779	4193	1182
780	4197	1177
781	4202	1171
782	4207	1165
783	4211	1160
784	4214	1154
785	4219	1148
786	4222	1142
787	4227	1137
788	4230	1131
789	4235	1125
790	4238	1119
791	4242	1114
792	4246	1108
793	4250	1102
794	4255	1097
795	4258	1091
796	4262	1085
797	4266	1080
798	4270	1074
799	4274	1068
800	4278	1063
801	4284	1057
802	4291	1052
803	4296	1047
804	4300	1041
805	4305	1036
806	4311	1031
807	4315	1025
808	4320	1019
809	4324	1014
810	4328	1008
811	4332	1003
812	4336	997
813	4342	992
814	4349	987
815	4354	981
816	4360	976
817	4364	971
818	4370	965
819	4379	961
820	4385	956
821	4392	951
822	4397	945
823	4401	940
824	4408	935
825	4414	930
826	4423	925
827	4429	920
828	4433	914
829	4437	908
830	4442	903
831	4447	898
832	4451	892
833	4459	887
834	4465	882
835	4472	877
836	4478	872
837	4484	866
838	4489	861
839	4496	856
840	4502	851
841	4508	846
842	4513	840
843	4518	835
844	4526	830
845	4532	824
846	4536	819
847	4541	814
848	4546	808
849	4552	803
850	4558	798
851	4562	792
852	4567	787
853	4574	782
854	4580	776
855	4585	771
856	4590	765
857	4595	760
858	4600	755
859	4604	749
860	4609	744
861	4614	738
862	4618	733
863	4624	727
864	4628	722
865	4631	716
866	4636	711
867	4640	705
868	4645	700
869	4651	694
870	4655	689
871	4659	684
872	4664	678
873	4668	673
874	4674	667
875	4680	662
876	4684	656
877	4688	651
878	4693	646
879	4697	640
880	4703	635
881	4709	630
882	4712	624
883	4717	618
884	4722	613
885	4727	608
886	4730	602
887	4737	597
888	4741	592
889	4745	586
890	4750	581
891	4754	575
892	4759	570
893	4764	564
894	4768	559
895	4773	554
896	4777	548
897	4781	543
898	4786	537
899	4791	532
900	4795	526
901	4800	521
902	4804	516
903	4808	510
904	4814	505
905	4819	500
906	4824	494
907	4829	489
908	4833	483
909	4838	478
910	4844	473
911	4849	467
912	4854	462
913	4859	457
914	4864	451
915	4868	446
916	4874	441
917	4878	435
918	4882	430
919	4887	425
920	4892	419
921	4896	414
922	4901	408
923	4904	403
924	4909	398
925	4913	392
926	4917	387
927	4922	381
928	4925	376
929	4930	371
930	4935	365
931	4939	360
932	4945	355
933	4953	350
934	4958	344
935	4963	339
936	4968	334
937	4974	328
938	4980	323
939	4987	318
940	4997	313
941	5002	307
942	5008	302
943	5014	297
944	5018	292
945	5026	286
946	5032	281
947	5038	276
948	5044	271
949	5050	265
950	5054	260
951	5065	255
952	5074	250
953	5079	244
954	5083	239
955	5089	234
956	5094	228
957	5097	223
958	5103	218
959	5109	212
960	5114	207
961	5118	202
962	5123	196
963	5127	191
964	5131	186
965	5136	180
966	5140	175
967	5145	170
968	5149	164
969	5154	159
970	5159	154
971	5163	148
972	5167	143
973	5173	138
974	5177	132
975	5181	127
976	5186	122
977	5191	116
978	5195	111
979	5200	106
980	5205	100
981	5209	95
982	5214	90
983	5219	84
984	5224	79
985	5229	74
986	5235	68
987	5240	63
988	5245	58
989	5250	53
990	5254	47
991	5259	42
992	5264	37
993	5271	31
994	5280	26
995	5284	21
996	5290	15
997	5295	10
998	5300	5
999	5304	0
